Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
ago/17;SESC;33.469.164/0001-11;384238969
ago/17;SEBRAE;00.330.854/0001-45;251941802
ago/17;EMBRATUR;35.842.428/0001-66;0
ago/17;DPC;852001 / 00001;12022854
ago/17;ANAC;122002 / 00001;16855338
ago/17;SENAR;37.138.245/0001-90;73862839
ago/17;SEST;73.471.989/0001-95;39710791
ago/17;SENAT;73.471.963/0001-47;25063535
ago/17;SESCOOP;03.087.543/0001-86;27757278
ago/17;SDR;420013 / 00001;19623675
ago/17;APEX-BR;05.507.500/0001-38;36722466
ago/17;ABDI;07.200.966/0001-11;5995597
set/17;FNDE;153173 / 15253;1581716024
set/17;INCRA;373001 / 37201;113084889
set/17;SENAI;33.564.543/0001-90;118754854
set/17;SESI;33.641.358/0001-52;169680795
set/17;SENAC;33.469.172/0001-68;214106173
set/17;SESC;33.469.164/0001-11;391368909
set/17;SEBRAE;00.330.854/0001-45;257263963
set/17;EMBRATUR;35.842.428/0001-66;0
set/17;DPC;852001 / 00001;12513184
set/17;ANAC;122002 / 00001;18484770
set/17;SENAR;37.138.245/0001-90;78087501
set/17;SEST;73.471.989/0001-95;40989433
set/17;SENAT;73.471.963/0001-47;25762395
set/17;SESCOOP;03.087.543/0001-86;27886944
set/17;SDR;420013 / 00001;19944891
set/17;APEX-BR;05.507.500/0001-38;37498873
set/17;ABDI;07.200.966/0001-11;6122411
out/17;FNDE;153173 / 15253;1554720154
out/17;INCRA;373001 / 37201;111075380
out/17;SENAI;33.564.543/0001-90;114132533
out/17;SESI;33.641.358/0001-52;163327551
out/17;SENAC;33.469.172/0001-68;212741789
out/17;SESC;33.469.164/0001-11;384870409
out/17;SEBRAE;00.330.854/0001-45;254897197
out/17;EMBRATUR;35.842.428/0001-66;0
out/17;DPC;852001 / 00001;12120128
